id,title,author,published,genre
471,Orthopedics Explained,Betty Harris,2012,Medicine
472,Endocrinology for Beginners,Mark Russell,2019,Medicine
473,Principles of Toxicology,Christine Stewart,2021,Medicine
474,Clinical Biochemistry,Jason Rogers,2016,Medicine
475,Medical Research Methods,Carolyn Long,2020,Medicine
476,Palliative Care Essentials,Andrew Jenkins,2017,Medicine
477,Anesthesiology Handbook,Matthew Coleman,2013,Medicine
478,Genetic Counseling Practices,Karen Barnes,2021,Medicine
479,Health and Disease Prevention,Emily Bell,2014,Medicine
480,Gastroenterology Simplified,Patricia Foster,2015,Medicine
481,Foundations of Pharmacotherapy,Joshua Price,2019,Medicine
482,Sports Medicine Basics,David Reed,2012,Medicine
483,Nursing Care Guidelines,Ruth Garcia,2020,Medicine
484,Introduction to Hematology,Alexander Adams,2016,Medicine
485,Infectious Disease Control,Sandra Scott,2018,Medicine
486,Medical Imaging Techniques,Alice Rivera,2021,Medicine
487,Women's Health Essentials,Brian Cox,2014,Medicine
488,Diagnostic Radiology,Michelle Roberts,2017,Medicine
489,Occupational Health Handbook,Lisa Butler,2019,Medicine
490,Principles of Public Health,Tom Sanchez,2015,Medicine
491,Emergency Care Fundamentals,Nancy Morris,2013,Medicine
492,Respiratory Medicine Guide,Kevin Hughes,2016,Medicine
493,Immunotherapy Advances,Susan Hernandez,2022,Medicine
494,Essentials of Pain Management,Ronald Brooks,2011,Medicine
495,Health Policy and Management,Diana Scott,2020,Medicine
496,Genomics and Precision Medicine,Jonathan Roberts,2019,Medicine
497,Preventive Medicine Handbook,Anna Hayes,2018,Medicine
498,Foundations of Rheumatology,Edward Lewis,2017,Medicine
499,Clinical Psychology Insights,Julia Ward,2016,Medicine
500,Occupational Therapy Guide,Stephanie Peters,2021,Medicine
501,Introduction to Urology,Benjamin Foster,2012,Medicine
502,Medical Technology Innovations,Christopher Watson,2019,Medicine
503,Essentials of Physiotherapy,Amanda Long,2013,Medicine
504,Introduction to Nephrology,William Clark,2018,Medicine
505,Health Informatics Overview,Rebecca Foster,2020,Medicine
506,Primary Care Practice,John Graham,2017,Medicine
507,Clinical Nutrition,Michelle Martinez,2019,Medicine
